id,userId,rating,comment,productId
f4515981-e45f-42b4-914f-c82cb85b6098,c4bc9b40-6054-4b51-93c9-2749c5dfd2ef,5,rating,dcd8e29f-c2bd-473e-8193-1c298be4708c
2f321f4f-204b-47c9-8e95-ff11775252a6,31d96e5c-ecc0-4ce8-a95a-10bd969faa48,2,rating,fe50f60a-4258-47b9-90de-0a86ae5bd8cd
bb281494-5f13-42e2-8be6-f8375d166d5f,5c7605e4-09cb-41bf-85ea-95f0b8b5a201,0,rating,efdbcdbc-88d4-4b27-8877-40a19867e9c4
ab75c010-5076-47c2-990a-893188b5ffac,0b43a07d-2355-462d-94c7-7bda86895970,5,rating,29b4332d-5ed9-4401-b57d-6e4171674c46
d977878d-f3f4-47d1-815f-6a2fb38434a0,fe7f6a96-90f1-4789-ae45-8dbe5219ad71,4,rating,b9c310dc-e385-4af4-9f1a-194e227d5b1d
6039a1b6-e60e-4fda-b2a9-72558daf551d,485efbaa-e1e4-49fa-b22b-2ba10d588a40,5,rating,ce4e4a10-434c-466b-9f1c-f710c9fc25a4
b78cfa14-9769-4238-9f2c-314b1aed1155,8540dcb1-9cb9-4da3-aa36-bb37e7483e75,4,rating,93624b67-ea91-4521-9e13-aa587f31a1f6
1b3f0fe8-547d-4c36-b82a-5ed7dc1e3391,879d4d51-fe5b-415e-ba56-0ebb6911f3c3,4,rating,93d97960-ece1-4281-93fe-5244e62feaed
a8d2f7e8-5bf4-413a-8297-8919dcddcfca,9f06db6d-aa4d-42ac-92d0-3bf3d965ce8b,5,rating,403af760-d1b9-4f74-bc20-50f46a66dc40
5c30c220-6fbf-48d1-aa98-77729e1af781,32d8d46f-6683-4753-8e44-9398f67110c6,0,rating,6842d42d-b604-425c-8b6c-ea8d2b32636e
26b26cc1-7d03-412a-8740-db43475d7277,9b5c5308-a547-4e6c-8a4f-8f20a6bd34c7,3,rating,0cd49a81-7265-49cc-adde-57fefa9a2040
6c1ce07e-2c22-4d69-836e-d6f94fdc321a,304421e5-589b-4236-8ad4-42e7aeadb474,2,rating,2b90c1a2-ff57-4eb7-a938-ee2befc75286
8088745e-225b-4677-b392-beca50d5df6b,fe7f6a96-90f1-4789-ae45-8dbe5219ad71,4,rating,83fe2aa6-aa54-4fa3-be2b-b1bc3dfc9e29
1b7fe301-a8ab-47dc-a2b6-87603d8e9232,a3adc2c1-cd22-43bb-a167-4a6db1d70fbd,4,rating,28294b04-8914-484d-8178-a071af47eca1
1384be51-e85b-4ba5-be32-a28daa892346,6a8b95f4-afe0-4f22-ae1d-e5c6688bab1f,3,rating,e7cb500f-37cf-46c9-b350-98f27080c56a
ebe868f9-ff8d-407a-aa04-b0bc5e524cbf,d822c5db-cd8c-444d-9b84-c27e39e5f438,2,rating,9aba0a44-a140-4e95-bb4c-9d9a07a06ae6
